#,stock_tick,stock_marketName,stock_isInfoAvailable
456,009810,KOSPI,1
457,009830,KOSPI,1
458,009835,KOSPI,1
459,009900,KOSPI,1
460,009970,KOSPI,1
461,010040,KOSPI,1
462,010050,KOSPI,1
463,010060,KOSPI,1
464,010100,KOSPI,1
465,010120,KOSPI,1
466,010130,KOSPI,1
467,010140,KOSPI,1
468,010145,KOSPI,1
469,010170,KOSDAQ,1
470,010240,KOSDAQ,1
471,010280,KOSDAQ,1
472,010400,KOSPI,1
473,010420,KOSPI,1
474,010470,KOSDAQ,1
475,010580,KOSPI,1
476,010600,KOSPI,1
477,010620,KOSPI,1
478,010640,KOSPI,1
479,010660,KOSPI,1
480,010690,KOSPI,1
481,010770,KOSPI,1
482,010780,KOSPI,1
483,010820,KOSPI,1
484,010950,KOSPI,1
485,010955,KOSPI,1
486,010960,KOSPI,1
487,011000,KOSPI,1
488,011040,KOSDAQ,1
489,011070,KOSPI,1
490,011080,KOSDAQ,1
491,011090,KOSPI,1
492,011150,KOSPI,1
493,011155,KOSPI,1
494,011170,KOSPI,1
495,011200,KOSPI,1
496,011210,KOSPI,1
497,011230,KOSPI,1
498,011280,KOSPI,1
499,011300,KOSPI,1
500,011320,KOSDAQ,1
501,011330,KOSPI,1
502,011370,KOSDAQ,1
503,011390,KOSPI,1
504,011420,KOSPI,1
505,011500,KOSPI,1
506,011560,KOSDAQ,1
507,011690,KOSPI,1
508,011700,KOSPI,1
509,011760,KOSPI,1
510,011780,KOSPI,1
511,011785,KOSPI,1
512,011790,KOSPI,1
513,011810,KOSPI,1
514,011930,KOSPI,1
515,012030,KOSPI,1
516,012160,KOSPI,1
517,012170,KOSPI,1
518,012200,KOSPI,1
519,012205,KOSPI,1
520,012280,KOSPI,1
521,012320,KOSPI,1
522,012330,KOSPI,1
523,012340,KOSDAQ,1
524,012450,KOSPI,1
525,012510,KOSPI,1
526,012600,KOSPI,1
527,012610,KOSPI,1
528,012620,KOSDAQ,1
529,012630,KOSPI,1
530,012690,KOSPI,1
531,012700,KOSDAQ,1
532,012750,KOSPI,1
533,012790,KOSDAQ,1
534,012800,KOSPI,1
535,012860,KOSDAQ,1
536,013000,KOSPI,1
537,013030,KOSDAQ,1
538,013120,KOSDAQ,1
539,013310,KOSDAQ,1
540,013360,KOSPI,1
541,013520,KOSPI,1
542,013570,KOSPI,1
543,013580,KOSPI,1
544,013700,KOSPI,1
545,013720,KOSDAQ,1
546,013810,KOSDAQ,1
547,013870,KOSPI,1
548,013890,KOSPI,1
549,013990,KOSDAQ,1
550,014100,KOSDAQ,1
551,014130,KOSPI,1
552,014160,KOSPI,1
553,014190,KOSDAQ,1
554,014200,KOSDAQ,1
555,014280,KOSPI,1
556,014285,KOSPI,1
557,014440,KOSPI,1
558,014470,KOSDAQ,1
559,014530,KOSPI,1
560,014570,KOSDAQ,1
561,014580,KOSPI,1
562,014620,KOSDAQ,1
563,014680,KOSPI,1
564,014710,KOSPI,1
565,014790,KOSPI,1
566,014820,KOSPI,1
567,014825,KOSPI,1
568,014830,KOSPI,1
569,014910,KOSPI,1
570,014915,KOSPI,1
571,014940,KOSDAQ,1
572,014970,KOSDAQ,1
573,014990,KOSPI,1
574,015020,KOSPI,1
575,015230,KOSPI,1
576,015260,KOSPI,1
577,015350,KOSPI,1
578,015360,KOSPI,1
579,015540,KOSPI,1
580,015590,KOSPI,1
581,015710,KOSDAQ,1
582,015750,KOSDAQ,1
583,015760,KOSPI,1
584,015860,KOSPI,1
585,015890,KOSPI,1
586,016090,KOSPI,1
587,016100,KOSDAQ,1
588,016250,KOSDAQ,1
589,016360,KOSPI,1
590,016380,KOSPI,1
591,016385,KOSPI,1
592,016450,KOSPI,1
593,016580,KOSPI,1
594,016590,KOSPI,1
595,016600,KOSDAQ,1
596,016610,KOSPI,1
597,016670,KOSDAQ,1
598,016710,KOSPI,1
599,016740,KOSPI,1
600,016790,KOSDAQ,1
601,016800,KOSPI,1
602,016880,KOSPI,1
603,016920,KOSDAQ,1
604,017000,KOSDAQ,1
605,017040,KOSPI,1
606,017180,KOSPI,1
607,017250,KOSDAQ,1
608,017370,KOSPI,1
609,017390,KOSPI,1
610,017480,KOSDAQ,1
611,017510,KOSDAQ,1
612,017550,KOSPI,1
613,017650,KOSDAQ,1
614,017670,KOSPI,1
615,017800,KOSPI,1
616,017810,KOSPI,1
617,017890,KOSDAQ,1
618,017900,KOSPI,1
619,017940,KOSPI,1
620,017960,KOSPI,1
621,018000,KOSDAQ,1
622,018120,KOSDAQ,1
623,018250,KOSPI,1
624,018260,KOSPI,1
625,018290,KOSDAQ,1
626,018310,KOSDAQ,1
627,018470,KOSPI,1
628,018500,KOSPI,1
629,018620,KOSDAQ,1
630,018670,KOSPI,1
631,018680,KOSDAQ,1
632,018700,KOSDAQ,1
633,018880,KOSPI,1
634,019010,KOSDAQ,1
635,019170,KOSPI,1
636,019175,KOSPI,1
637,019180,KOSPI,1
638,019210,KOSDAQ,1
639,019440,KOSPI,1
640,019490,KOSPI,1
641,019540,KOSDAQ,1
642,019550,KOSDAQ,1
643,019570,KOSDAQ,1
644,019590,KOSDAQ,1
645,019660,KOSDAQ,1
646,019680,KOSPI,1
647,019685,KOSPI,1
648,019770,KOSDAQ,1
649,019990,KOSDAQ,1
650,020000,KOSPI,1
651,020120,KOSPI,1
652,020150,KOSPI,1
653,020180,KOSDAQ,1
654,020400,KOSDAQ,1
655,020560,KOSPI,1
656,020710,KOSDAQ,1
657,020760,KOSPI,1
658,021040,KOSDAQ,1
659,021045,KOSDAQ,1
660,021050,KOSPI,1
661,021080,KOSDAQ,1
662,021240,KOSPI,1
663,021320,KOSDAQ,1
664,021650,KOSDAQ,1
665,021820,KOSPI,1
666,021880,KOSDAQ,1
667,022100,KOSDAQ,1
668,022220,KOSDAQ,1
669,023000,KOSPI,1
670,023150,KOSPI,1
671,023160,KOSDAQ,1
672,023350,KOSPI,1
673,023410,KOSDAQ,1
674,023440,KOSDAQ,1
675,023450,KOSPI,1
676,023460,KOSDAQ,1
677,023530,KOSPI,1
678,023590,KOSPI,1
679,023600,KOSDAQ,1
680,023760,KOSDAQ,1
681,023770,KOSDAQ,1
682,023790,KOSDAQ,1
683,023800,KOSPI,1
